product_id,candidate_location,current_avg_lead_time,candidate_avg_lead_time,current_median_lead_time,candidate_median_lead_time,lead_time_improvement_days,lead_time_improvement_pct,candidate_records,candidate_total_sales,candidate_total_profit,current_total_sales,current_total_profit,profit_difference,reliability_score,candidate_score,recommendation_rank,product_records,current_total_units,estimated_profit_change,lead_time_improvement_per_record,risk_level,estimated_units_affected,estimated_lead_time_days_saved,record_coverage_pct,operational_benefit_score,decision_score,recommendation_type,lead_time_score,improvement_pct_score,historical_decision_score,optimization_score
CHO-SCR-58000,Massachusetts_Atlantic,4.248546511627907,3.125,4.0,3.0,1.1235465116279073,26.445432774546703,24,334.8,232.5,27874.8,19357.5,-19125.0,6.0,85.12456423616557,1,2064,7743,-19125.0,0.0468144379844961,Medium,7743,26.965116279069772,1.162790697674419,111.5699970107123,81.55492591574071,Strong Reallocation Candidate,100.0,100.0,100.0,81.2
CHO-SCR-58000,Ohio_Atlantic,4.248546511627907,3.5,4.0,3.0,0.7485465116279073,17.618884707492306,90,1263.6,877.5,27874.8,19357.5,-18480.0,22.5,79.47631357701601,2,2064,7743,-18480.0,0.0083171834625323,Low,7743,67.36918604651166,4.3604651162790695,97.09519828450831,73.26258623861477,Strong Reallocation Candidate,66.62354463130661,66.6235446313066,89.83220255059364,61.28
CHO-MIL-31000,Ohio_Atlantic,4.381375760411792,3.7888888888888888,5.0,4.0,0.5924868715229037,13.522849988726318,90,1066.0,692.08,26867.75,17443.37,-16751.289999999997,22.5,60.99967642684739,3,2137,8267,-16751.289999999997,0.0065831874613655,Low,8267,53.32381843706133,4.211511464670098,74.52252641557371,56.40346842877509,High Potential,52.733630997122596,51.13491658091465,69.16010013551958,48.751
CHO-TRI-54000,Ohio_Atlantic,4.311166253101737,3.808080808080808,4.0,4.0,0.503085445020929,11.669358486441489,99,1413.75,923.65,28485.0,18610.2,-17686.55,24.75,53.73938179136746,4,2015,7596,-17686.55,0.0050816711618275,Low,7596,49.80545905707197,4.913151364764268,65.40874027780895,49.80881494926757,High Potential,44.776557073014104,44.12617704510798,61.0739503346837,43.053
CHO-SCR-58000,Colorado_Pacific,4.248546511627907,3.7111111111111112,4.0,4.0,0.5374354005167961,12.64986505492835,45,669.6,465.0,27874.8,19357.5,-18892.5,11.25,48.43179700929948,5,2064,7743,-18892.5,0.0119430089003732,Medium,7743,24.18459302325582,2.1802325581395348,61.08166206422783,45.50641664653166,High Potential,47.833836423745865,47.83383642374587,55.79848934391415,41.712
CHO-SCR-58000,Virginia_Gulf,4.248546511627907,3.7142857142857135,4.0,4.0,0.5342607973421938,12.575142954889817,35,518.4,360.0,27874.8,19357.5,-18997.5,8.75,45.063262932640505,6,2064,7743,-18997.5,0.0152645942097769,Medium,7743,18.699127906976784,1.695736434108527,57.6384058875304,42.677329110379056,High Potential,47.55128442062473,47.55128442062475,52.32955413934355,40.508
CHO-MIL-31000,Colorado_Pacific,4.381375760411792,3.8684210526315774,5.0,4.0,0.5129547077802141,11.707617329128672,38,494.0,320.72,26867.75,17443.37,-17122.649999999998,9.5,42.89157781455857,7,2137,8267,-17122.649999999998,0.0134988080994793,Medium,8267,19.492278895648138,1.7781937295273749,54.59919514368728,40.52270966211669,High Potential,45.654959761033275,44.27084793407904,49.687629787050675,38.683
CHO-FUD-51000,Indiana_Interior,4.284928492849285,3.769230769230769,4.0,4.0,0.5156977236185156,12.035153549916066,26,331.2,220.8,24890.4,16593.6,-16372.8,6.5,39.66590275783624,8,1818,6914,-16372.8,0.0198345278314813,Medium,6914,13.408140814081406,1.4301430143014302,51.70105630775231,38.03632758408731,High Potential,45.899098816240446,45.50938399276152,46.63890887888847,38.033
CHO-NUT-13000,Michigan_Interior,4.258011049723757,3.869565217391304,4.0,4.0,0.3884458323324531,9.122706066196184,46,642.16,458.16,23574.95,16819.95,-16361.79,11.5,35.12376488187105,9,1810,6755,-16361.79,0.0084444746159228,Medium,6755,17.868508287292844,2.541436464088398,44.24647094806723,33.1686522314126,High Potential,34.57318662933088,34.496338721204964,40.670323538373545,30.854
CHO-SCR-58000,California_Pacific,4.248546511627907,4.03,4.0,4.0,0.218546511627907,5.144030106055424,400,5302.8,3682.5,27874.8,19357.5,-15675.0,100.0,30.83311803659993,10,2064,7743,-15675.0,0.0005463662790697,Very Low,7743,87.41860465116282,19.379844961240316,35.97714814265535,31.11447847455572,Moderate Potential,19.45148771021992,19.451487710219926,38.15156242886169,38.366
CHO-NUT-13000,Ohio_Atlantic,4.258011049723757,3.95,4.0,4.0,0.3080110497237571,7.23368366420138,80,1067.94,761.94,23574.95,16819.95,-16058.01,20.0,31.788055063317582,11,1810,6755,-16058.01,0.0038501381215469,Low,6755,24.64088397790057,4.41988950276243,39.021738727518965,29.931263783307244,Moderate Potential,27.414178811118344,27.353243661656702,36.700743023457626,27.309
CHO-FUD-51000,Ohio_Atlantic,4.284928492849285,4.010869565217392,4.0,4.0,0.2740589276318932,6.395881006864979,92,1141.2,760.8,24890.4,16593.6,-15832.8,23.0,28.989967009984746,12,1818,6914,-15832.8,0.0029789013873031,Low,6914,25.213421342134176,5.060506050605061,35.38584801684972,27.402015321541292,Moderate Potential,24.392308177327614,24.18520075429021,33.59946074851685,25.443
CHO-TRI-54000,Arizona_Pacific,4.311166253101737,4.0,4.0,4.0,0.3111662531017369,7.217681593185218,55,825.0,539.0,28485.0,18610.2,-18071.2,13.750000000000002,29.05370680431609,13,2015,7596,-18071.2,0.0056575682382133,Low,7596,17.11414392059553,2.729528535980149,36.271388397501305,27.397711947241508,Moderate Potential,27.695004157049794,27.292733889884076,33.59418409079021,25.69
