Product ID,candidate_location,current_avg_lead_time,candidate_avg_lead_time,current_median_lead_time,candidate_median_lead_time,lead_time_improvement_days,lead_time_improvement_pct,candidate_records,candidate_total_sales,candidate_total_profit,current_total_sales,current_total_profit,profit_difference,reliability_score,candidate_score,recommendation_rank
CHO-SCR-58000,Massachusetts_Atlantic,4.248546511627907,3.125,4.0,3.0,1.1235465116279073,26.445432774546706,24,334.8,232.5,27874.8,19357.5,-19125.0,3.2188758248682006,85.12456423616557,1
CHO-SCR-58000,Ohio_Atlantic,4.248546511627907,3.5,4.0,3.0,0.7485465116279073,17.618884707492306,90,1263.6,877.5,27874.8,19357.5,-18480.0,4.51085950651685,79.47631357701601,2
CHO-MIL-31000,Ohio_Atlantic,4.381375760411792,3.7888888888888888,5.0,4.0,0.5924868715229037,13.522849988726318,90,1066.0,692.08,26867.75,17443.37,-16751.289999999997,4.51085950651685,60.99967642684739,3
CHO-TRI-54000,Ohio_Atlantic,4.311166253101737,3.808080808080808,4.0,4.0,0.503085445020929,11.669358486441487,99,1413.75,923.65,28485.0,18610.2,-17686.55,4.605170185988092,53.73938179136746,4
CHO-SCR-58000,Colorado_Pacific,4.248546511627907,3.7111111111111112,4.0,4.0,0.5374354005167961,12.64986505492835,45,669.6,465.0,27874.8,19357.5,-18892.5,3.828641396489095,48.43179700929948,5
CHO-SCR-58000,Virginia_Gulf,4.248546511627907,3.7142857142857144,4.0,4.0,0.5342607973421929,12.575142954889795,35,518.4,360.0,27874.8,19357.5,-18997.5,3.58351893845611,45.063262932640505,6
CHO-MIL-31000,Colorado_Pacific,4.381375760411792,3.8684210526315788,5.0,4.0,0.5129547077802137,11.707617329128661,38,494.0,320.71999999999997,26867.75,17443.37,-17122.649999999998,3.6635616461296463,42.89157781455857,7
CHO-FUD-51000,Indiana_Interior,4.284928492849285,3.769230769230769,4.0,4.0,0.5156977236185156,12.035153549916066,26,331.2,220.8,24890.4,16593.6,-16372.8,3.295836866004329,39.66590275783624,8
CHO-NUT-13000,Michigan_Interior,4.258011049723757,3.869565217391304,4.0,4.0,0.3884458323324531,9.122706066196185,46,642.16,458.16,23574.95,16819.95,-16361.79,3.8501476017100584,35.12376488187105,9
CHO-NUT-13000,Ohio_Atlantic,4.258011049723757,3.95,4.0,4.0,0.30801104972375715,7.23368366420138,80,1067.94,761.94,23574.95,16819.95,-16058.01,4.394449154672439,31.788055063317586,10
CHO-SCR-58000,California_Pacific,4.248546511627907,4.03,4.0,4.0,0.21854651162790706,5.144030106055424,400,5302.8,3682.5,27874.8,19357.5,-15675.0,5.993961427306569,30.83311803659993,11
CHO-TRI-54000,Arizona_Pacific,4.311166253101737,4.0,4.0,4.0,0.31116625310173696,7.217681593185218,55,825.0,539.0,28485.0,18610.2,-18071.2,4.02535169073515,29.053706804316086,12
CHO-FUD-51000,Ohio_Atlantic,4.284928492849285,4.010869565217392,4.0,4.0,0.2740589276318932,6.395881006864979,92,1141.2,760.8,24890.4,16593.6,-15832.8,4.532599493153256,28.989967009984742,13
CHO-TRI-54000,Colorado_Pacific,4.311166253101737,3.96875,4.0,4.0,0.34241625310173696,7.94254345573846,32,412.5,269.5,28485.0,18610.2,-18340.7,3.4965075614664802,27.771163250265634,14
