candidate_location,candidate_count,products,avg_lead_time_improvement_days,avg_lead_time_improvement_pct,max_lead_time_improvement_pct,total_candidate_records,avg_decision_score
Massachusetts_Atlantic,1,1,1.1235465116279073,26.445432774546706,26.445432774546706,24,81.55492591574071
Virginia_Gulf,1,1,0.5342607973421938,12.575142954889815,12.575142954889815,35,42.677329110379056
Indiana_Interior,1,1,0.5156977236185156,12.035153549916066,12.035153549916066,26,38.03632758408731
Ohio_Atlantic,5,5,0.48523776110547806,11.288131570745294,17.618884707492306,451,47.3616297443012
Colorado_Pacific,3,3,0.4642687871329157,10.766675279931826,12.64986505492835,115,37.511648834245015
Michigan_Interior,1,1,0.3884458323324531,9.122706066196185,9.122706066196185,46,33.1686522314126
Arizona_Pacific,1,1,0.31116625310173696,7.217681593185218,7.217681593185218,55,27.397711947241508
California_Pacific,3,3,0.2123739403718384,5.1176347537780496,6.005221932114886,787,26.31189265081616
Georgia_Gulf,4,4,0.20335500884864333,4.714308131230656,7.5471511800138185,137,15.813542030395615
Florida_Gulf,1,1,0.18903808189038074,4.411697469534174,4.411697469534174,73,18.19951550711726
Texas_Interior,2,2,0.15638070630884382,3.6396849992685993,4.056482670089865,360,18.839955088426724
Pennsylvania_Atlantic,2,2,0.1517066063879069,3.5249250116394086,4.431743291106074,206,15.894245969432138
Washington_Pacific,1,1,0.14063501967105196,3.2098369864043366,3.2098369864043366,108,14.662450803498002
